title,price,meterage,district,floor,build_year,rooms,link
۵۱متر ۱خواب/سالن پرده خور/بازسازی/سرمایه گذاری,12750000000,51.0,فردوس,2.0,1383.0,1.0,https://divar.ir/v/%DB%B5%DB%B1%D9%85%D8%AA%D8%B1-%DB%B1%D8%AE%D9%88%D8%A7%D8%A8-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C/gal5dXwm?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gal5dXwm_N
۶۵ م * ۲ خ * تکواحدی * لوکس,10500000000,65.0,جیحون,2.0,1385.0,2.0,https://divar.ir/v/%DB%B6%DB%B5-%D9%85-%DB%B2-%D8%AE-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%84%D9%88%DA%A9%D8%B3/ga3pi4uu?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pi4uu_N
۴۵متر/تکواحدی/زیرهمکف/فول بازسازی شده,5200000000,45.0,سلسبیل شمالی,4.0,1386.0,1.0,https://divar.ir/v/%DB%B4%DB%B5%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%B2%DB%8C%D8%B1%D9%87%D9%85%DA%A9%D9%81-%D9%81%D9%88%D9%84-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B4%D8%AF%D9%87/gav1zlgk?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gav1zlgk_N
اپارتمان۵۰ متری طبقه سوم میر کاضمیان,5500000000,50.0,مختاری,3.0,1379.0,1.0,https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86%DB%B5%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D8%B7%D8%A8%D9%82%D9%87-%D8%B3%D9%88%D9%85-%D9%85%DB%8C%D8%B1-%DA%A9%D8%A7%D8%B6%D9%85%DB%8C%D8%A7%D9%86/gaTBkf_r?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaTBkf_r_N
۱۰۴متر نوساز * یک انتخاب خاص برای خاص پسندان *,28800000000,104.0,شهران جنوبی,3.0,1403.0,2.0,https://divar.ir/v/%DB%B1%DB%B0%DB%B4%D9%85%D8%AA%D8%B1-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%DB%8C%DA%A9-%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8-%D8%AE%D8%A7%D8%B5-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%AE%D8%A7%D8%B5-%D9%BE%D8%B3%D9%86%D8%AF%D8%A7%D9%86/ga3pi7SP?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pi7SP_N
۶۹متر ۲ خواب شاهین شمالی,21000000000,69.0,جنت‌آباد مرکزی,3.0,1395.0,2.0,https://divar.ir/v/%DB%B6%DB%B9%D9%85%D8%AA%D8%B1-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B4%D8%A7%D9%87%DB%8C%D9%86-%D8%B4%D9%85%D8%A7%D9%84%DB%8C/gaph-viq?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaph-viq_N
86 متر دوخوابه غرب باقری ( بلوار اردیبهشت),15800000000,86.0,تهرانپارس غربی,2.0,1393.0,2.0,https://divar.ir/v/86-%D9%85%D8%AA%D8%B1-%D8%AF%D9%88%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%BA%D8%B1%D8%A8-%D8%A8%D8%A7%D9%82%D8%B1%DB%8C-%D8%A8%D9%84%D9%88%D8%A7%D8%B1-%D8%A7%D8%B1%D8%AF%DB%8C%D8%A8%D9%87%D8%B4%D8%AA/ga3pCDme?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pCDme_N
۴۲ متر /فول امکانات/جیحون,5850000000,42.0,جیحون,4.0,1392.0,1.0,https://divar.ir/v/%DB%B4%DB%B2-%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%AC%DB%8C%D8%AD%D9%88%D9%86/ga2tuH1t?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga2tuH1t_N
۱۲۵متر / تک واحدی/ فول امکانات/ فوری فوری,14200000000,125.0,سلیمانی,5.0,1395.0,2.0,https://divar.ir/v/%DB%B1%DB%B2%DB%B5%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D9%81%D9%88%D8%B1%DB%8C-%D9%81%D9%88%D8%B1%DB%8C/ga0hzw0I?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga0hzw0I_N
۵۱ متر/ فول بازسازی/ چهارراه شاپور,4950000000,51.0,امیریه,1.0,1384.0,1.0,https://divar.ir/v/%DB%B5%DB%B1-%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%DA%86%D9%87%D8%A7%D8%B1%D8%B1%D8%A7%D9%87-%D8%B4%D8%A7%D9%BE%D9%88%D8%B1/ga3hSjaT?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3hSjaT_N
بلوار ابراهیم آباد برزگر رحیمی 75 متر فول دو خواب,7000000000,75.0,شادآباد,4.0,1394.0,2.0,https://divar.ir/v/%D8%A8%D9%84%D9%88%D8%A7%D8%B1-%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%DB%8C%D9%85-%D8%A2%D8%A8%D8%A7%D8%AF-%D8%A8%D8%B1%D8%B2%DA%AF%D8%B1-%D8%B1%D8%AD%DB%8C%D9%85%DB%8C-75-%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8/ga3RCRYK?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3RCRYK_N
۴۸متر/فول امکانات/شهیدکاظمی,7200000000,48.0,سلیمانی,3.0,1395.0,1.0,https://divar.ir/v/%DB%B4%DB%B8%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%B4%D9%87%DB%8C%D8%AF%DA%A9%D8%A7%D8%B8%D9%85%DB%8C/ga3pSws1?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pSws1_N
66متر دو خواب طبقه دوم تک,8100000000,66.0,افسریه شمالی,2.0,1389.0,2.0,https://divar.ir/v/66%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B7%D8%A8%D9%82%D9%87-%D8%AF%D9%88%D9%85-%D8%AA%DA%A9/ga3dC8LD?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3dC8LD_N
۲۳۰ متر یک از چهار با ۱۱۰ متر قدرالسهم جردن فوری,55000000000,230.0,گاندی,4.0,1371.0,4.0,https://divar.ir/v/%DB%B2%DB%B3%DB%B0-%D9%85%D8%AA%D8%B1-%DB%8C%DA%A9-%D8%A7%D8%B2-%DA%86%D9%87%D8%A7%D8%B1-%D8%A8%D8%A7-%DB%B1%DB%B1%DB%B0-%D9%85%D8%AA%D8%B1-%D9%82%D8%AF%D8%B1%D8%A7%D9%84%D8%B3%D9%87%D9%85-%D8%AC%D8%B1%D8%AF%D9%86-%D9%81%D9%88%D8%B1%DB%8C/gatoCmNT?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gatoCmNT_N
هفت تیر بهار ۶۵ متر ۲ پارکینگ فول,15200000000,65.0,بهار,1.0,1380.0,1.0,https://divar.ir/v/%D9%87%D9%81%D8%AA-%D8%AA%DB%8C%D8%B1-%D8%A8%D9%87%D8%A7%D8%B1-%DB%B6%DB%B5-%D9%85%D8%AA%D8%B1-%DB%B2-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D9%81%D9%88%D9%84/gatB6Uk9?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gatB6Uk9_N
۱۱۵متر/دوکله نور/شهرزیبا,25000000000,115.0,سازمان آب,3.0,1390.0,2.0,https://divar.ir/v/%DB%B1%DB%B1%DB%B5%D9%85%D8%AA%D8%B1-%D8%AF%D9%88%DA%A9%D9%84%D9%87-%D9%86%D9%88%D8%B1-%D8%B4%D9%87%D8%B1%D8%B2%DB%8C%D8%A8%D8%A7/gaotUDTa?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaotUDTa_N
آپارتمان لوکس ۱۸۳متر ولنجک,130000000000,183.0,زعفرانیه,3.0,1404.0,3.0,https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D9%84%D9%88%DA%A9%D8%B3-%DB%B1%DB%B8%DB%B3%D9%85%D8%AA%D8%B1-%D9%88%D9%84%D9%86%D8%AC%DA%A9/ga3dCC_w?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3dCC_w_N
۱۶۰ متر آپارتمان یک از دو با۱۵۰متر قدرالسهم,60000000000,160.0,کاج,1.0,1371.0,3.0,https://divar.ir/v/%DB%B1%DB%B6%DB%B0-%D9%85%D8%AA%D8%B1-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%8C%DA%A9-%D8%A7%D8%B2-%D8%AF%D9%88-%D8%A8%D8%A7%DB%B1%DB%B5%DB%B0%D9%85%D8%AA%D8%B1-%D9%82%D8%AF%D8%B1%D8%A7%D9%84%D8%B3%D9%87%D9%85/gahYLmFa?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gahYLmFa_N
۹۰متر/فول‌امکانات/براصلی/خوش‌نقشه,18100000000,90.0,جمال‌زاده,1.0,1395.0,2.0,https://divar.ir/v/%DB%B9%DB%B0%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%A8%D8%B1%D8%A7%D8%B5%D9%84%DB%8C-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87/ga39x5J3?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga39x5J3_N
۵۶ متر زرتشت غربی,23500000000,56.0,بلوار کشاورز,3.0,1404.0,1.0,https://divar.ir/v/%DB%B5%DB%B6-%D9%85%D8%AA%D8%B1-%D8%B2%D8%B1%D8%AA%D8%B4%D8%AA-%D8%BA%D8%B1%D8%A8%DB%8C/gafJDowg?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gafJDowg_N
آپارتمان۱۱۵م۱۲۲م۱۴۰م/تهرانسر۳خواب,23500000000,115.0,شهرک پاسداران,4.0,1404.0,3.0,https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86%DB%B1%DB%B1%DB%B5%D9%85%DB%B1%DB%B2%DB%B2%D9%85%DB%B1%DB%B4%DB%B0%D9%85-%D8%AA%D9%87%D8%B1%D8%A7%D9%86%D8%B3%D8%B1%DB%B3%D8%AE%D9%88%D8%A7%D8%A8/ga3liXhM?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3liXhM_N
۷۶متر ۲خواب/ تکواحدی/فول/نوساز,17550000000,76.0,امامت,4.0,1401.0,2.0,https://divar.ir/v/%DB%B7%DB%B6%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%81%D9%88%D9%84-%D9%86%D9%88%D8%B3%D8%A7%D8%B2/ga2Zf8_f?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga2Zf8_f_N
۷۳متر ۲خواب/ پارکینگ/ تکواحدی/طبقه سوم,11250000000,73.0,تهران‌نو,3.0,1390.0,2.0,https://divar.ir/v/%DB%B7%DB%B3%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%B7%D8%A8%D9%82%D9%87-%D8%B3%D9%88%D9%85/gajsuc-R?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gajsuc-R_N
55 متر نو ساز و کلید نخورده,19300000000,55.0,شاهین,1.0,1405.0,1.0,https://divar.ir/v/55-%D9%85%D8%AA%D8%B1-%D9%86%D9%88-%D8%B3%D8%A7%D8%B2-%D9%88-%DA%A9%D9%84%DB%8C%D8%AF-%D9%86%D8%AE%D9%88%D8%B1%D8%AF%D9%87/ga3pSbjO?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pSbjO_N
90متر/حاجی صادقی / فول امکانات,23250000000,90.0,هفت حوض,1.0,1396.0,2.0,https://divar.ir/v/90%D9%85%D8%AA%D8%B1-%D8%AD%D8%A7%D8%AC%DB%8C-%D8%B5%D8%A7%D8%AF%D9%82%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA/ga3liwmI?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3liwmI_N
107متر/2خواب/نوساز/توحید,31000000000,107.0,توحید,4.0,1404.0,2.0,https://divar.ir/v/107%D9%85%D8%AA%D8%B1-2%D8%AE%D9%88%D8%A7%D8%A8-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D8%AA%D9%88%D8%AD%DB%8C%D8%AF/gaUluX43?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaUluX43_N
115متر/2خواب/2پارکینگ/ظفر,35000000000,115.0,ظفر,1.0,1398.0,2.0,https://divar.ir/v/115%D9%85%D8%AA%D8%B1-2%D8%AE%D9%88%D8%A7%D8%A8-2%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%B8%D9%81%D8%B1/ga3pSQfl?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pSQfl_N
۷۵متر/تک واحدی/پارکینگ غیرمزاحم/سالن مربع,9800000000,75.0,جیحون,2.0,1386.0,2.0,https://divar.ir/v/%DB%B7%DB%B5%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%BA%DB%8C%D8%B1%D9%85%D8%B2%D8%A7%D8%AD%D9%85-%D8%B3%D8%A7%D9%84%D9%86-%D9%85%D8%B1%D8%A8%D8%B9/ga3Zyfe6?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3Zyfe6_N
۱۹۰متر جهانتاب/فول نوسازی/فول مشاعات/دو پارکینگ,62000000000,190.0,اختیاریه,1.0,1393.0,3.0,https://divar.ir/v/%DB%B1%DB%B9%DB%B0%D9%85%D8%AA%D8%B1-%D8%AC%D9%87%D8%A7%D9%86%D8%AA%D8%A7%D8%A8-%D9%81%D9%88%D9%84-%D9%86%D9%88%D8%B3%D8%A7%D8%B2%DB%8C-%D9%81%D9%88%D9%84-%D9%85%D8%B4%D8%A7%D8%B9%D8%A7%D8%AA-%D8%AF%D9%88-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF/gatIr-wJ?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gatIr-wJ_N
۷۰متری غرق نور/روبنما،لوکس وشیک/مناسب خاص پسندان,6750000000,70.0,چیتگر جنوبی,2.0,1404.0,2.0,https://divar.ir/v/%DB%B7%DB%B0%D9%85%D8%AA%D8%B1%DB%8C-%D8%BA%D8%B1%D9%82-%D9%86%D9%88%D8%B1-%D8%B1%D9%88%D8%A8%D9%86%D9%85%D8%A7-%D9%84%D9%88%DA%A9%D8%B3-%D9%88%D8%B4%DB%8C%DA%A9-%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D8%AE%D8%A7%D8%B5-%D9%BE%D8%B3%D9%86%D8%AF%D8%A7%D9%86/ga3pSGsX?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pSGsX_N
اپارتمان ۷۰ متری تک واحدی,9000000000,70.0,تولید دارو,1.0,1385.0,2.0,https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C/gahd_eAv?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gahd_eAv_N
74متری فول اعیان نشین منطقه,17400000000,74.0,طرشت,5.0,1393.0,2.0,https://divar.ir/v/74%D9%85%D8%AA%D8%B1%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D8%B9%DB%8C%D8%A7%D9%86-%D9%86%D8%B4%DB%8C%D9%86-%D9%85%D9%86%D8%B7%D9%82%D9%87/gaXFIr3k?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaXFIr3k_N
۳۹ متر بر اصلی خیابان طوس تقاطع قصرالدشت,6190000000,39.0,جیحون,2.0,1382.0,1.0,https://divar.ir/v/%DB%B3%DB%B9-%D9%85%D8%AA%D8%B1-%D8%A8%D8%B1-%D8%A7%D8%B5%D9%84%DB%8C-%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86-%D8%B7%D9%88%D8%B3-%D8%AA%D9%82%D8%A7%D8%B7%D8%B9-%D9%82%D8%B5%D8%B1%D8%A7%D9%84%D8%AF%D8%B4%D8%AA/gaEpd1Mq?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaEpd1Mq_N
84متر2خواب/فول امکانات/نوساز/خوش نقشه/تاپ لوکیشن,10300000000,84.0,جیحون,3.0,1403.0,2.0,https://divar.ir/v/84%D9%85%D8%AA%D8%B12%D8%AE%D9%88%D8%A7%D8%A8-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87-%D8%AA%D8%A7%D9%BE-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86/ga3VSrar?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3VSrar_N
۱۸۰متر/کیکاووس/فول نوسازی شده/امکان تهاتر با ۲خواب,60000000000,180.0,درب دوم,1.0,1388.0,3.0,https://divar.ir/v/%DB%B1%DB%B8%DB%B0%D9%85%D8%AA%D8%B1-%DA%A9%DB%8C%DA%A9%D8%A7%D9%88%D9%88%D8%B3-%D9%81%D9%88%D9%84-%D9%86%D9%88%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B4%D8%AF%D9%87-%D8%A7%D9%85%DA%A9%D8%A7%D9%86-%D8%AA%D9%87%D8%A7%D8%AA%D8%B1-%D8%A8%D8%A7-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8/gaU94qPT?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaU94qPT_N
۵۰متر/پارکینگ غیر مزاحم/گذر پهن,6100000000,50.0,هاشمی,2.0,1383.0,1.0,https://divar.ir/v/%DB%B5%DB%B0%D9%85%D8%AA%D8%B1-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%BA%DB%8C%D8%B1-%D9%85%D8%B2%D8%A7%D8%AD%D9%85-%DA%AF%D8%B0%D8%B1-%D9%BE%D9%87%D9%86/ga3piENV?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3piENV_N
سازمان آب (پارک شاهین) 110 متر 2 خواب,37200000000,110.0,ستارخان,5.0,1396.0,2.0,https://divar.ir/v/%D8%B3%D8%A7%D8%B2%D9%85%D8%A7%D9%86-%D8%A2%D8%A8-%D9%BE%D8%A7%D8%B1%DA%A9-%D8%B4%D8%A7%D9%87%DB%8C%D9%86-110-%D9%85%D8%AA%D8%B1-2-%D8%AE%D9%88%D8%A7%D8%A8/gauFwolo?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gauFwolo_N
90متر 2خواب/پونک /خطی روبه آفتاب /فول,28300000000,90.0,پونک,2.0,1394.0,2.0,https://divar.ir/v/90%D9%85%D8%AA%D8%B1-2%D8%AE%D9%88%D8%A7%D8%A8-%D9%BE%D9%88%D9%86%DA%A9-%D8%AE%D8%B7%DB%8C-%D8%B1%D9%88%D8%A8%D9%87-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D9%81%D9%88%D9%84/ga0xrtiv?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga0xrtiv_N
۵۰ متری فول بر خیابون سبلان شمالی,9000000000,50.0,سبلان (لشگر),3.0,1394.0,1.0,https://divar.ir/v/%DB%B5%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D9%81%D9%88%D9%84-%D8%A8%D8%B1-%D8%AE%DB%8C%D8%A7%D8%A8%D9%88%D9%86-%D8%B3%D8%A8%D9%84%D8%A7%D9%86-%D8%B4%D9%85%D8%A7%D9%84%DB%8C/ga3dSHcy?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3dSHcy_N
۱۱۰متر* روبه‌آفتاب * خاص‌پسند/ به قیمت,27300000000,110.0,تهرانپارس غربی,3.0,1402.0,2.0,https://divar.ir/v/%DB%B1%DB%B1%DB%B0%D9%85%D8%AA%D8%B1-%D8%B1%D9%88%D8%A8%D9%87-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D8%AE%D8%A7%D8%B5-%D9%BE%D8%B3%D9%86%D8%AF-%D8%A8%D9%87-%D9%82%DB%8C%D9%85%D8%AA/ga3dSWHs?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3dSWHs_N
۱۰۷متر ۲خ فول بازسازی شده پارسیان تهرانپارس,25500000000,107.0,تهرانپارس غربی,2.0,1384.0,2.0,https://divar.ir/v/%DB%B1%DB%B0%DB%B7%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE-%D9%81%D9%88%D9%84-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B4%D8%AF%D9%87-%D9%BE%D8%A7%D8%B1%D8%B3%DB%8C%D8%A7%D9%86-%D8%AA%D9%87%D8%B1%D8%A7%D9%86%D9%BE%D8%A7%D8%B1%D8%B3/gaUh5K9c?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaUh5K9c_N
۴۵مترطبقه اول محبوب مجازمتروکمیل,4800000000,45.0,مخصوص,1.0,1383.0,1.0,https://divar.ir/v/%DB%B4%DB%B5%D9%85%D8%AA%D8%B1%D8%B7%D8%A8%D9%82%D9%87-%D8%A7%D9%88%D9%84-%D9%85%D8%AD%D8%A8%D9%88%D8%A8-%D9%85%D8%AC%D8%A7%D8%B2%D9%85%D8%AA%D8%B1%D9%88%DA%A9%D9%85%DB%8C%D9%84/ga21dEr9?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga21dEr9_N
۹۴متر۲خ/بازسازی شده/پله ها نرم/تک واحدی/پارکینگ,21700000000,94.0,دبستان,2.0,1380.0,2.0,https://divar.ir/v/%DB%B9%DB%B4%D9%85%D8%AA%D8%B1%DB%B2%D8%AE-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B4%D8%AF%D9%87-%D9%BE%D9%84%D9%87-%D9%87%D8%A7-%D9%86%D8%B1%D9%85-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF/ga3lCsC9?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3lCsC9_N
۱۲۳متر۲خواب فول امکانات/آزادگان/,34000000000,123.0,امیرآباد,1.0,1389.0,2.0,https://divar.ir/v/%DB%B1%DB%B2%DB%B3%D9%85%D8%AA%D8%B1%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%A2%D8%B2%D8%A7%D8%AF%DA%AF%D8%A7%D9%86/ga3li5W0?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3li5W0_N
اپارتمان۵۳ متری فول امکانات تک واحدی فروزش,8500000000,53.0,امیر بهادر,4.0,1397.0,1.0,https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86%DB%B5%DB%B3-%D9%85%D8%AA%D8%B1%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%81%D8%B1%D9%88%D8%B2%D8%B4/gazEfiUn?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gazEfiUn_N
۴۹متر/پارکینگ سندی/سند تک برگ,5000000000,49.0,طرشت,2.0,1401.0,1.0,https://divar.ir/v/%DB%B4%DB%B9%D9%85%D8%AA%D8%B1-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%B3%D9%86%D8%AF%DB%8C-%D8%B3%D9%86%D8%AF-%D8%AA%DA%A9-%D8%A8%D8%B1%DA%AF/ga2tDOjr?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga2tDOjr_N
۴۰متر/آسانسور دار/سبلان شمالی/محسن آزادی,6450000000,40.0,سبلان (لشگر),2.0,1390.0,1.0,https://divar.ir/v/%DB%B4%DB%B0%D9%85%D8%AA%D8%B1-%D8%A2%D8%B3%D8%A7%D9%86%D8%B3%D9%88%D8%B1-%D8%AF%D8%A7%D8%B1-%D8%B3%D8%A8%D9%84%D8%A7%D9%86-%D8%B4%D9%85%D8%A7%D9%84%DB%8C-%D9%85%D8%AD%D8%B3%D9%86-%D8%A2%D8%B2%D8%A7%D8%AF%DB%8C/ga3lC61b?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3lC61b_N
اپارتمان ۵۳متر فول امکانات خوش نقشه شهران,13500000000,53.0,شهران شمالی,3.0,1385.0,1.0,https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B5%DB%B3%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87-%D8%B4%D9%87%D8%B1%D8%A7%D9%86/ga3JR0Jr?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3JR0Jr_N
