title,price,meterage,district,link,floor,build_year,rooms
۵۵ متر نوساز منطقه ۱۱ تهران,6875000000,55.0,عباسی,https://divar.ir/v/%DB%B5%DB%B5-%D9%85%D8%AA%D8%B1-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D9%85%D9%86%D8%B7%D9%82%D9%87-%DB%B1%DB%B1-%D8%AA%D9%87%D8%B1%D8%A7%D9%86/ga3ti1j3?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3ti1j3_N,۱ از ۵,۱۴۰۴,۱
۹۴متر/ سالن پرده خور/تاپ لوکیشن چهارباغ,25200000000,94.0,جنت‌آباد جنوبی,https://divar.ir/v/%DB%B9%DB%B4%D9%85%D8%AA%D8%B1-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1-%D8%AA%D8%A7%D9%BE-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86-%DA%86%D9%87%D8%A7%D8%B1%D8%A8%D8%A7%D8%BA/ga3xyL7P?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3xyL7P_N,,,
۲۱۵متر-۴خواب-کلیدنخورده-تراس بزرگ,84500000000,215.0,جردن,https://divar.ir/v/%DB%B2%DB%B1%DB%B5%D9%85%D8%AA%D8%B1-%DB%B4%D8%AE%D9%88%D8%A7%D8%A8-%DA%A9%D9%84%DB%8C%D8%AF%D9%86%D8%AE%D9%88%D8%B1%D8%AF%D9%87-%D8%AA%D8%B1%D8%A7%D8%B3-%D8%A8%D8%B2%D8%B1%DA%AF/ga3xyMST?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3xyMST_N,۳,۱۴۰۴,۴
۷۰متر ۲خواب ده ساله. فردوس غرب,19500000000,70.0,ارم,https://divar.ir/v/%DB%B7%DB%B0%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D8%AF%D9%87-%D8%B3%D8%A7%D9%84%D9%87-%D9%81%D8%B1%D8%AF%D9%88%D8%B3-%D8%BA%D8%B1%D8%A8/gao5qpBs?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gao5qpBs_N,۴,۱۳۹۳,۲
۱۰۷متر ۲خواب/فول مشاعات / ولنجک هشترودی / زیرقیمت,40000000000,107.0,ولنجک,https://divar.ir/v/%DB%B1%DB%B0%DB%B7%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D9%81%D9%88%D9%84-%D9%85%D8%B4%D8%A7%D8%B9%D8%A7%D8%AA-%D9%88%D9%84%D9%86%D8%AC%DA%A9-%D9%87%D8%B4%D8%AA%D8%B1%D9%88%D8%AF%DB%8C-%D8%B2%DB%8C%D8%B1%D9%82%DB%8C%D9%85%D8%AA/gauZ_1Lq?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gauZ_1Lq_N,۲,۱۴۰۰,۲
۷۲ متر ۲خوابه تکواحدی جمهوری سلیمانیه داداشیان,9500000000,72.0,زنجان جنوبی,https://divar.ir/v/%DB%B7%DB%B2-%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C-%D8%B3%D9%84%DB%8C%D9%85%D8%A7%D9%86%DB%8C%D9%87-%D8%AF%D8%A7%D8%AF%D8%A7%D8%B4%DB%8C%D8%A7%D9%86/ga3xCMu4?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3xCMu4_N,۳ از ۴,۱۳۹۲,۲
124متر/3خوابه/فول/ابوذر/علامه امینی,32500000000,124.0,آهنگ,https://divar.ir/v/124%D9%85%D8%AA%D8%B1-3%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%81%D9%88%D9%84-%D8%A7%D8%A8%D9%88%D8%B0%D8%B1-%D8%B9%D9%84%D8%A7%D9%85%D9%87-%D8%A7%D9%85%DB%8C%D9%86%DB%8C/gauEFMQk?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gauEFMQk_N,۵,۱۳۹۳,۳
فروش اپارتمان ۸۸ متر دو خواب,15500000000,88.0,ابوذر,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B8%DB%B8-%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8/ga3tSlqs?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3tSlqs_N,۵ از ۶,۱۳۹۳,۲
89 متر 2 خواب//فردوس غرب/ورزی شمالی/تهاتر,25500000000,89.0,شهرک پرواز,https://divar.ir/v/89-%D9%85%D8%AA%D8%B1-2-%D8%AE%D9%88%D8%A7%D8%A8-%D9%81%D8%B1%D8%AF%D9%88%D8%B3-%D8%BA%D8%B1%D8%A8-%D9%88%D8%B1%D8%B2%DB%8C-%D8%B4%D9%85%D8%A7%D9%84%DB%8C-%D8%AA%D9%87%D8%A7%D8%AA%D8%B1/ga3ty5c3?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3ty5c3_N,۴,۱۳۹۹,۲
آپارتمان ۳۷ متری/با پارکینگ,5450000000,37.0,هاشمی,https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B3%DB%B7-%D9%85%D8%AA%D8%B1%DB%8C-%D8%A8%D8%A7-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF/ga3tC3L1?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3tC3L1_N,۴,۱۳۹۵,۲
91 متر بر اینانلو /تهاتر /سرمایه گذاری,27250000000,91.0,سازمان برنامه جنوبی,https://divar.ir/v/91-%D9%85%D8%AA%D8%B1-%D8%A8%D8%B1-%D8%A7%DB%8C%D9%86%D8%A7%D9%86%D9%84%D9%88-%D8%AA%D9%87%D8%A7%D8%AA%D8%B1-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C/ga3tyXju?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3tyXju_N,۵,۱۳۹۹,۲
۱۵۰متر/کلید نخورده/سپهر مرزداران,74470000000,150.0,پردیسان,https://divar.ir/v/%DB%B1%DB%B5%DB%B0%D9%85%D8%AA%D8%B1-%DA%A9%D9%84%DB%8C%D8%AF-%D9%86%D8%AE%D9%88%D8%B1%D8%AF%D9%87-%D8%B3%D9%BE%D9%87%D8%B1-%D9%85%D8%B1%D8%B2%D8%AF%D8%A7%D8%B1%D8%A7%D9%86/gaCNze5x?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaCNze5x_N,۴,۱۴۰۴,۳
ولنجک زیر سیزدهم/300متر 4خواب/فول مشاعات/برج باغ,165000000000,300.0,ولنجک,https://divar.ir/v/%D9%88%D9%84%D9%86%D8%AC%DA%A9-%D8%B2%DB%8C%D8%B1-%D8%B3%DB%8C%D8%B2%D8%AF%D9%87%D9%85-300%D9%85%D8%AA%D8%B1-4%D8%AE%D9%88%D8%A7%D8%A8-%D9%81%D9%88%D9%84-%D9%85%D8%B4%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A8%D8%B1%D8%AC-%D8%A8%D8%A7%D8%BA/gavV2NWA?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gavV2NWA_N,۸,۱۳۹۸,۴
65متر/تک خواب/فول/بازسازی شده,17360000000,65.0,اباذر,https://divar.ir/v/65%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9-%D8%AE%D9%88%D8%A7%D8%A8-%D9%81%D9%88%D9%84-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B4%D8%AF%D9%87/ga3tSYRE?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3tSYRE_N,۲,۱۳۹۵,۱
پونک ایران زمین ۶۶متر طبقه اول,17500000000,66.0,سردارجنگل,https://divar.ir/v/%D9%BE%D9%88%D9%86%DA%A9-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D8%B2%D9%85%DB%8C%D9%86-%DB%B6%DB%B6%D9%85%D8%AA%D8%B1-%D8%B7%D8%A8%D9%82%D9%87-%D8%A7%D9%88%D9%84/ga2N9nDe?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga2N9nDe_N,۱,۱۳۸۰,۲
اپارتمان مسعودیه ۶۵متر نوساز فول,8100000000,65.0,مسعودیه,https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D9%85%D8%B3%D8%B9%D9%88%D8%AF%DB%8C%D9%87-%DB%B6%DB%B5%D9%85%D8%AA%D8%B1-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D9%81%D9%88%D9%84/gaPJ3Abc?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaPJ3Abc_N,,,
۶۳متری سالن پرده خور/فردوس غرب/مالک فروشنده,14800000000,63.0,سازمان برنامه شمالی,https://divar.ir/v/%DB%B6%DB%B3%D9%85%D8%AA%D8%B1%DB%8C-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1-%D9%81%D8%B1%D8%AF%D9%88%D8%B3-%D8%BA%D8%B1%D8%A8-%D9%85%D8%A7%D9%84%DA%A9-%D9%81%D8%B1%D9%88%D8%B4%D9%86%D8%AF%D9%87/gashrbP7?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gashrbP7_N,۲ از ۴,۱۳۸۴,۱
۴۲ متر / فول امکانات / استخر,8500000000,42.0,استخر,https://divar.ir/v/%DB%B4%DB%B2-%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1/ga3pimO-?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3pimO-_N,۲,۱۳۸۷,۱
51 متر. یک خواب. بازسازی کامل,8200000000,51.0,تهران‌نو,https://divar.ir/v/51-%D9%85%D8%AA%D8%B1-%DB%8C%DA%A9-%D8%AE%D9%88%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%DA%A9%D8%A7%D9%85%D9%84/gaudAg5R?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaudAg5R_N,۳ از ۵,۱۳۸۷,۱
77 متر 2 خواب خوش نقشه,6300000000,77.0,بلورسازی,https://divar.ir/v/77-%D9%85%D8%AA%D8%B1-2-%D8%AE%D9%88%D8%A7%D8%A8-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87/gautTIDU?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gautTIDU_N,۲ از ۴,۱۳۸۰,۲
اپارتمان مسعودیه ۸۳متر فول ۳نبش,9200000000,83.0,مسعودیه,https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D9%85%D8%B3%D8%B9%D9%88%D8%AF%DB%8C%D9%87-%DB%B8%DB%B3%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%DB%B3%D9%86%D8%A8%D8%B4/gaVFwmz1?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaVFwmz1_N,۵ از ۵,۱۳۹۶,۲
۱۱۲مترسالن پرده خورقابلیت 2پارکینگ تهرانپارس غربی,28300000000,112.0,تهرانپارس غربی,https://divar.ir/v/%DB%B1%DB%B1%DB%B2%D9%85%D8%AA%D8%B1%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1%D9%82%D8%A7%D8%A8%D9%84%DB%8C%D8%AA-2%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%AA%D9%87%D8%B1%D8%A7%D9%86%D9%BE%D8%A7%D8%B1%D8%B3-%D8%BA%D8%B1%D8%A8%DB%8C/ga2pek13?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga2pek13_N,۳ از ۵,۱۳۹۲,۲
جردن ۱۷۲ متر تکواحدی طبقه آخر,59000000000,172.0,امانیه,https://divar.ir/v/%D8%AC%D8%B1%D8%AF%D9%86-%DB%B1%DB%B7%DB%B2-%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%B7%D8%A8%D9%82%D9%87-%D8%A2%D8%AE%D8%B1/gaCtkiQf?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaCtkiQf_N,۶,۱۳۹۲,۳
فرمانیه سنبل ۲۵۰ متر سه خواب,150000000000,250.0,فرمانیه,https://divar.ir/v/%D9%81%D8%B1%D9%85%D8%A7%D9%86%DB%8C%D9%87-%D8%B3%D9%86%D8%A8%D9%84-%DB%B2%DB%B5%DB%B0-%D9%85%D8%AA%D8%B1-%D8%B3%D9%87-%D8%AE%D9%88%D8%A7%D8%A8/ga3tSZiV?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3tSZiV_N,۴,۱۳۹۰,۳
فروش اپارتمان ۱۰۶ متری در قیطریه,33800000000,106.0,چیذر,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B0%DB%B6-%D9%85%D8%AA%D8%B1%DB%8C-%D8%AF%D8%B1-%D9%82%DB%8C%D8%B7%D8%B1%DB%8C%D9%87/ga3hyhwp?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3hyhwp_N,۴ از ۵,۱۳۹۳,۲
۹۰متر ۲ خواب ساختمان کم واحد. روبه نما. تراورتن,24500000000,90.0,سازمان برنامه جنوبی,https://divar.ir/v/%DB%B9%DB%B0%D9%85%D8%AA%D8%B1-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B3%D8%A7%D8%AE%D8%AA%D9%85%D8%A7%D9%86-%DA%A9%D9%85-%D9%88%D8%A7%D8%AD%D8%AF-%D8%B1%D9%88%D8%A8%D9%87-%D9%86%D9%85%D8%A7-%D8%AA%D8%B1%D8%A7%D9%88%D8%B1%D8%AA%D9%86/gaStJwsj?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaStJwsj_N,۴,۱۳۹۸,۲
۸۶ متر فول امکانات (مترو بریانک),13800000000,86.0,بریانک,https://divar.ir/v/%DB%B8%DB%B6-%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D8%AA%D8%B1%D9%88-%D8%A8%D8%B1%DB%8C%D8%A7%D9%86%DA%A9/ga3tin9X?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3tin9X_N,۵ از ۵,۱۴۰۳,۲
۸۰متر/با امکانات /ایزدپناه، اردیبهشت جنوبی,15800000000,80.0,تهرانپارس غربی,https://divar.ir/v/%DB%B8%DB%B0%D9%85%D8%AA%D8%B1-%D8%A8%D8%A7-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%A7%DB%8C%D8%B2%D8%AF%D9%BE%D9%86%D8%A7%D9%87-%D8%A7%D8%B1%D8%AF%DB%8C%D8%A8%D9%87%D8%B4%D8%AA-%D8%AC%D9%86%D9%88%D8%A8%DB%8C/ga3timjA?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3timjA_N,۱ از ۵,۱۳۸۶,۲
64 متر نواب ۲خوابه فول امکانات,9900000000,64.0,سلسبیل جنوبی,https://divar.ir/v/64-%D9%85%D8%AA%D8%B1-%D9%86%D9%88%D8%A7%D8%A8-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA/ga3twITU?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3twITU_N,۲,۱۳۸۶,۲
واحد ۱۱۰ متری /شمالی ویو دار /شهرک خرازی چیتگر,16400000000,110.0,شهرک خرازی,https://divar.ir/v/%D9%88%D8%A7%D8%AD%D8%AF-%DB%B1%DB%B1%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D8%B4%D9%85%D8%A7%D9%84%DB%8C-%D9%88%DB%8C%D9%88-%D8%AF%D8%A7%D8%B1-%D8%B4%D9%87%D8%B1%DA%A9-%D8%AE%D8%B1%D8%A7%D8%B2%DB%8C-%DA%86%DB%8C%D8%AA%DA%AF%D8%B1/ga3tiWC4?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3tiWC4_N,۲۳,۱۴۰۲,۲
آپارتمان ۴۵ متر با آسانسور ( نیکفر ),6600000000,45.0,بریانک,https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B4%DB%B5-%D9%85%D8%AA%D8%B1-%D8%A8%D8%A7-%D8%A2%D8%B3%D8%A7%D9%86%D8%B3%D9%88%D8%B1-%D9%86%DB%8C%DA%A9%D9%81%D8%B1/gaOBVUF-?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gaOBVUF-_N,۱ از ۴,۱۳۹۵,۱
112متر دو خواب * نور جنوب * باغ بهشت,78400000000,112.0,سعادت‌آباد,https://divar.ir/v/112%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8-%D9%86%D9%88%D8%B1-%D8%AC%D9%86%D9%88%D8%A8-%D8%A8%D8%A7%D8%BA-%D8%A8%D9%87%D8%B4%D8%AA/gay0IjQk?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gay0IjQk_N,۴,۱۴۰۰,۲
۵۵ متر رو ب آفتاب بازسازی کامل مناسب عروس و داماد,7700000000,55.0,تهرانپارس شرقی,https://divar.ir/v/%DB%B5%DB%B5-%D9%85%D8%AA%D8%B1-%D8%B1%D9%88-%D8%A8-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%DA%A9%D8%A7%D9%85%D9%84-%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D8%B9%D8%B1%D9%88%D8%B3-%D9%88-%D8%AF%D8%A7%D9%85%D8%A7%D8%AF/ga3tyNAw?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3tyNAw_N,۱,۱۳۹۰,۱
۹۳ متر / ۲ خواب / فول امکانات / دامپزشکی / ۲۱ متری,17800000000,93.0,دکتر هوشیار,https://divar.ir/v/%DB%B9%DB%B3-%D9%85%D8%AA%D8%B1-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%AF%D8%A7%D9%85%D9%BE%D8%B2%D8%B4%DA%A9%DB%8C-%DB%B2%DB%B1-%D9%85%D8%AA%D8%B1%DB%8C/ga3tCGwV?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3tCGwV_N,۳ از ۴,۱۳۹۰,۲
60متر/ سالن پرده خور. / پلان مهندسی,49000000000,60.0,باشگاه نفت,https://divar.ir/v/60%D9%85%D8%AA%D8%B1-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1-%D9%BE%D9%84%D8%A7%D9%86-%D9%85%D9%87%D9%86%D8%AF%D8%B3%DB%8C/ga3tCCos?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3tCCos_N,,,
فروش واحد ۵۰متری,4000000000,50.0,یافت آباد جنوبی,https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D9%88%D8%A7%D8%AD%D8%AF-%DB%B5%DB%B0%D9%85%D8%AA%D8%B1%DB%8C/gazJTbZe?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_gazJTbZe_N,۱,۱۳۸۵,۱
۱۲۷ متر * ۲ خ * فول,16500000000,127.0,هفت چنار,https://divar.ir/v/%DB%B1%DB%B2%DB%B7-%D9%85%D8%AA%D8%B1-%DB%B2-%D8%AE-%D9%81%D9%88%D9%84/ga0tjxRF?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga0tjxRF_N,۵,۱۳۹۶,۲
۱۲۸ متر ۳ خ / فول امکانات / گذر پهن و عریض /تراوتن,28600000000,128.0,تهرانپارس غربی,https://divar.ir/v/%DB%B1%DB%B2%DB%B8-%D9%85%D8%AA%D8%B1-%DB%B3-%D8%AE-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%DA%AF%D8%B0%D8%B1-%D9%BE%D9%87%D9%86-%D9%88-%D8%B9%D8%B1%DB%8C%D8%B6-%D8%AA%D8%B1%D8%A7%D9%88%D8%AA%D9%86/ga3tyE7f?tracker_session_id=b7595e75-98b5-4efc-919d-5c7911fff515_ga3tyE7f_N,,,
